Year,UNIT_MEASURE,SERIES,Regions,Value
2017,thousands,выше 10 Мбит/сек,Mangistau,31.1
2017,thousands,выше 10 Мбит/сек,Ontustik Kazakhstan,23.6
2017,thousands,выше 10 Мбит/сек,Pavlodar,54.6
2017,thousands,выше 10 Мбит/сек,Soltustik Kazakhstan,29.5
2017,thousands,выше 10 Мбит/сек,Shygys Kazakhstan,61.4
2017,thousands,выше 10 Мбит/сек,Nur-Sultan city,98.7
2017,thousands,выше 10 Мбит/сек,Almaty city,860.7
2018,thousands,,,2461.3
2018,thousands,от 256 кБит/сек до менее 2 Мбит/сек,,67.4
2018,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Akmola,3.8
2018,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Aktobe,2.4
2018,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Almaty,1.8
2018,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Atyrau,2.7
2018,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Batys Kazakhstan,1.9
2018,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Zhambyl,1.8
2018,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Karagandy,5.2
2018,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Kostanay,2.6
2018,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Kyzylorda,3.0
2018,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Mangistau,6.8
2018,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Pavlodar,1.1
2018,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Soltustik Kazakhstan,2.9
2018,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Turkistan,2.1
2018,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Shygys Kazakhstan,1.1
2018,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Nur-Sultan city,22.6
2018,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Almaty city,5.4
2018,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Shymkent city,0.2
2018,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,,1020.8
2018,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Akmola,75.2
2018,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Aktobe,50.8
2018,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Almaty,129.6
2018,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Atyrau,51.9
2018,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Batys Kazakhstan,26.0
2018,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Zhambyl,45.1
2018,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Karagandy,81.0
2018,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Kostanay,70.5
2018,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Kyzylorda,38.6
2018,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Mangistau,32.2
2018,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Pavlodar,47.9
2018,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Soltustik Kazakhstan,54.2
2018,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Turkistan,49.5
2018,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Shygys Kazakhstan,84.3
2018,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Nur-Sultan city,44.9
2018,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Almaty city,112.2
2018,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Shymkent city,26.9
2018,thousands,выше 10 Мбит/сек,Akmola,28.0
2018,thousands,выше 10 Мбит/сек,Aktobe,51.9
2018,thousands,выше 10 Мбит/сек,Almaty,27.1
2018,thousands,выше 10 Мбит/сек,Atyrau,35.4
2018,thousands,выше 10 Мбит/сек,Batys Kazakhstan,39.4
2018,thousands,выше 10 Мбит/сек,Zhambyl,34.3
2018,thousands,выше 10 Мбит/сек,Karagandy,170.9
2018,thousands,выше 10 Мбит/сек,Kostanay,83.5
2018,thousands,выше 10 Мбит/сек,Kyzylorda,15.0
2018,thousands,выше 10 Мбит/сек,Mangistau,39.5
2018,thousands,выше 10 Мбит/сек,Pavlodar,98.7
2018,thousands,выше 10 Мбит/сек,Soltustik Kazakhstan,48.7
