Year,Жасы,Аймақ,Өңірлер,Value
2012,,,Ақмола,34.51160438106726
2012,,,Ақтөбе,29.618242377658213
2012,,,Алматы,36.44040368376144
2012,,,Атырау,54.24666526009799
2012,,,Батыс Қазақстан,34.750547298075816
2012,,,Жамбыл,45.43415498222892
2012,,,Қарағанды,32.02022329892564
2012,,,Қостанай,30.18575851393189
2012,,,Қызылорда,29.289885100772278
2012,,,Маңғыстау,54.89684343150269
2012,,,Оңтүстік Қазақстан,34.49343188599587
2012,,,Павлодар,31.48986419996064
2012,,,Солтүстік Қазақстан,28.247507171151483
2012,,,Шығыс Қазақстан,25.68730423037064
2012,,,Нұр-Сұлтан қаласы,26.033616692426584
2012,,,Алматы қаласы,19.094380796508457
2012,,қала,,32.79511883381278
2012,,қала,Ақмола,33.93194706994329
2012,,қала,Ақтөбе,33.32384836700496
2012,,қала,Алматы,40.69087629038185
2012,,қала,Атырау,59.61155646419541
2012,,қала,Батыс Қазақстан,42.94788914497723
2012,,қала,Жамбыл,35.640307054953084
2012,,қала,Қарағанды,33.62265874828689
2012,,қала,Қостанай,31.248665955176094
2012,,қала,Қызылорда,35.407637582795
2012,,қала,Маңғыстау,50.36814707123763
2012,,қала,Оңтүстік Қазақстан,34.40895815350416
2012,,қала,Павлодар,32.16171158655182
2012,,қала,Солтүстік Қазақстан,28.882785505448748
2012,,қала,Шығыс Қазақстан,28.342940466154797
2012,,қала,Нұр-Сұлтан қаласы,26.033616692426584
2012,,қала,Алматы қаласы,19.094380796508457
2012,,ауыл,,34.76437584972138
2012,,ауыл,Ақмола,34.917170915583775
2012,,ауыл,Ақтөбе,25.263783623123796
2012,,ауыл,Алматы,35.2402961845022
2012,,ауыл,Атырау,50.10386373078521
2012,,ауыл,Батыс Қазақстан,29.055690072639223
2012,,ауыл,Жамбыл,51.3758755151448
2012,,ауыл,Қарағанды,27.72907066835216
2012,,ауыл,Қостанай,29.378384513116508
2012,,ауыл,Қызылорда,25.477707006369428
2012,,ауыл,Маңғыстау,59.0728247708009
2012,,ауыл,Оңтүстік Қазақстан,34.538722929451744
2012,,ауыл,Павлодар,30.34775934344925
2012,,ауыл,Солтүстік Қазақстан,27.964294178055138
2012,,ауыл,Шығыс Қазақстан,22.911307992759838
2013,10 жастан 14 жасқа дейін,,,0.0379838532448611
2013,10 жастан 14 жасқа дейін,,Ақмола,0.0876577840112202
2013,10 жастан 14 жасқа дейін,,Ақтөбе,0.0822351514154725
2013,10 жастан 14 жасқа дейін,,Алматы,0.0306327970041124
2013,10 жастан 14 жасқа дейін,,Атырау,0.0496339496215411
2013,10 жастан 14 жасқа дейін,,Батыс Қазақстан,0.0541023074634133
2013,10 жастан 14 жасқа дейін,,Жамбыл,0.0
2013,10 жастан 14 жасқа дейін,,Қарағанды,0.0252847697189597
2013,10 жастан 14 жасқа дейін,,Қостанай,0.1215288327155617
2013,10 жастан 14 жасқа дейін,,Қызылорда,0.0343554066821265
2013,10 жастан 14 жасқа дейін,,Маңғыстау,0.0459579943931246
2013,10 жастан 14 жасқа дейін,,Оңтүстік Қазақстан,0.0084691574458714
2013,10 жастан 14 жасқа дейін,,Павлодар,0.0985197408930814
2013,10 жастан 14 жасқа дейін,,Солтүстік Қазақстан,0.060560181680545
2013,10 жастан 14 жасқа дейін,,Шығыс Қазақстан,0.0533560986020702
2013,10 жастан 14 жасқа дейін,,Нұр-Сұлтан қаласы,0.0
2013,10 жастан 14 жасқа дейін,,Алматы қаласы,0.0288971406279348
2013,10 жастан 14 жасқа дейін,қала,,0.0307675740537047
2013,10 жастан 14 жасқа дейін,қала,Ақмола,0.1066098081023454
2013,10 жастан 14 жасқа дейін,қала,Ақтөбе,0.0755829333736442
2013,10 жастан 14 жасқа дейін,қала,Алматы,0.0
2013,10 жастан 14 жасқа дейін,қала,Атырау,0.112898673440587
2013,10 жастан 14 жасқа дейін,қала,Батыс Қазақстан,0.0
2013,10 жастан 14 жасқа дейін,қала,Жамбыл,0.0
2013,10 жастан 14 жасқа дейін,қала,Қарағанды,0.034676468548443
2013,10 жастан 14 жасқа дейін,қала,Қостанай,0.0950344499881207
2013,10 жастан 14 жасқа дейін,қала,Қызылорда,0.0
2013,10 жастан 14 жасқа дейін,қала,Маңғыстау,0.0
