Year,UNIT_MEASURE,Өңірлер,Аймақ,Жынысы,Value
2014,пайыз,Ақмола,,әйелдер,5.8
2014,пайыз,Ақтөбе,,әйелдер,9.8
2014,пайыз,Алматы,,әйелдер,9.9
2014,пайыз,Атырау,,әйелдер,7.3
2014,пайыз,Батыс Қазақстан,,әйелдер,3.4
2014,пайыз,Жамбыл,,әйелдер,14.0
2014,пайыз,Қарағанды,,әйелдер,15.9
2014,пайыз,Қостанай,,әйелдер,4.4
2014,пайыз,Қызылорда,,әйелдер,16.0
2014,пайыз,Маңғыстау,,әйелдер,15.1
2014,пайыз,Оңтүстік Қазақстан,,әйелдер,8.4
2014,пайыз,Павлодар,,әйелдер,4.6
2014,пайыз,Солтүстік Қазақстан,,әйелдер,8.8
2014,пайыз,Шығыс Қазақстан,,әйелдер,8.1
2014,пайыз,Нұр-Сұлтан қаласы,,әйелдер,8.1
2014,пайыз,Алматы қаласы,,әйелдер,5.6
2014,пайыз,,қала,,6.3
2014,пайыз,Ақмола,қала,,4.0
2014,пайыз,Ақтөбе,қала,,8.0
2014,пайыз,Алматы,қала,,7.6
2014,пайыз,Атырау,қала,,4.3
2014,пайыз,Батыс Қазақстан,қала,,2.2
2014,пайыз,Жамбыл,қала,,6.9
2014,пайыз,Қарағанды,қала,,10.5
2014,пайыз,Қостанай,қала,,4.6
2014,пайыз,Қызылорда,қала,,14.4
2014,пайыз,Маңғыстау,қала,,9.9
2014,пайыз,Оңтүстік Қазақстан,қала,,5.3
2014,пайыз,Павлодар,қала,,4.1
2014,пайыз,Солтүстік Қазақстан,қала,,7.3
2014,пайыз,Шығыс Қазақстан,қала,,4.8
2014,пайыз,Нұр-Сұлтан қаласы,қала,,6.5
2014,пайыз,Алматы қаласы,қала,,4.8
2014,пайыз,,ауыл,,7.8
2014,пайыз,Ақмола,ауыл,,4.9
2014,пайыз,Ақтөбе,ауыл,,4.7
2014,пайыз,Алматы,ауыл,,7.6
2014,пайыз,Атырау,ауыл,,4.9
2014,пайыз,Батыс Қазақстан,ауыл,,4.2
2014,пайыз,Жамбыл,ауыл,,11.2
2014,пайыз,Қарағанды,ауыл,,10.7
2014,пайыз,Қостанай,ауыл,,4.4
2014,пайыз,Қызылорда,ауыл,,11.4
2014,пайыз,Маңғыстау,ауыл,,18.6
2014,пайыз,Оңтүстік Қазақстан,ауыл,,7.8
2014,пайыз,Павлодар,ауыл,,2.0
2014,пайыз,Солтүстік Қазақстан,ауыл,,6.1
2014,пайыз,Түркістан,ауыл,,7.0
2015,пайыз,,,,7.9
2015,пайыз,Ақмола,,,7.7
2015,пайыз,Ақтөбе,,,8.0
2015,пайыз,Алматы,,,8.2
2015,пайыз,Атырау,,,7.0
2015,пайыз,Батыс Қазақстан,,,3.9
2015,пайыз,Жамбыл,,,12.9
2015,пайыз,Қарағанды,,,12.5
2015,пайыз,Қостанай,,,6.5
2015,пайыз,Қызылорда,,,7.6
2015,пайыз,Маңғыстау,,,9.9
2015,пайыз,Оңтүстік Қазақстан,,,8.3
2015,пайыз,Павлодар,,,5.6
2015,пайыз,Солтүстік Қазақстан,,,7.2
2015,пайыз,Шығыс Қазақстан,,,7.6
2015,пайыз,Нұр-Сұлтан қаласы,,,5.2
2015,пайыз,Алматы қаласы,,,5.9
2015,пайыз,,,ерлер,6.0
2015,пайыз,Ақмола,,ерлер,5.8
2015,пайыз,Ақтөбе,,ерлер,5.4
2015,пайыз,Алматы,,ерлер,6.1
2015,пайыз,Атырау,,ерлер,4.3
2015,пайыз,Батыс Қазақстан,,ерлер,3.5
2015,пайыз,Жамбыл,,ерлер,8.1
2015,пайыз,Қарағанды,,ерлер,7.2
2015,пайыз,Қостанай,,ерлер,6.0
2015,пайыз,Қызылорда,,ерлер,6.6
2015,пайыз,Маңғыстау,,ерлер,6.8
2015,пайыз,Оңтүстік Қазақстан,,ерлер,7.4
2015,пайыз,Павлодар,,ерлер,5.0
2015,пайыз,Солтүстік Қазақстан,,ерлер,5.1
2015,пайыз,Шығыс Қазақстан,,ерлер,4.9
2015,пайыз,Нұр-Сұлтан қаласы,,ерлер,4.4
2015,пайыз,Алматы қаласы,,ерлер,5.2
2015,пайыз,,,әйелдер,9.7
2015,пайыз,Ақмола,,әйелдер,9.7
2015,пайыз,Ақтөбе,,әйелдер,10.0
2015,пайыз,Алматы,,әйелдер,10.5
2015,пайыз,Атырау,,әйелдер,10.4
2015,пайыз,Батыс Қазақстан,,әйелдер,4.4
2015,пайыз,Жамбыл,,әйелдер,17.9
2015,пайыз,Қарағанды,,әйелдер,17.6
2015,пайыз,Қостанай,,әйелдер,7.1
2015,пайыз,Қызылорда,,әйелдер,8.8
2015,пайыз,Маңғыстау,,әйелдер,13.5
2015,пайыз,Оңтүстік Қазақстан,,әйелдер,9.2
2015,пайыз,Павлодар,,әйелдер,6.2
2015,пайыз,Солтүстік Қазақстан,,әйелдер,9.7
2015,пайыз,Шығыс Қазақстан,,әйелдер,10.5
2015,пайыз,Нұр-Сұлтан қаласы,,әйелдер,5.8
2015,пайыз,Алматы қаласы,,әйелдер,6.4
2015,пайыз,,қала,,6.6
2015,пайыз,Ақмола,қала,,6.6
2015,пайыз,Ақтөбе,қала,,6.3
2015,пайыз,Алматы,қала,,7.7
2015,пайыз,Атырау,қала,,7.4
2015,пайыз,Батыс Қазақстан,қала,,1.7
2015,пайыз,Жамбыл,қала,,14.9
2015,пайыз,Қарағанды,қала,,12.0
2015,пайыз,Қостанай,қала,,5.5
2015,пайыз,Қызылорда,қала,,7.2
2015,пайыз,Маңғыстау,қала,,6.3
2015,пайыз,Оңтүстік Қазақстан,қала,,4.6
2015,пайыз,Павлодар,қала,,2.5
2015,пайыз,Солтүстік Қазақстан,қала,,9.2
2015,пайыз,Шығыс Қазақстан,қала,,6.3
2015,пайыз,Нұр-Сұлтан қаласы,қала,,5.2
2015,пайыз,Алматы қаласы,қала,,5.9
2015,пайыз,,ауыл,,9.6
2015,пайыз,Ақмола,ауыл,,8.6
2015,пайыз,Ақтөбе,ауыл,,11.0
2015,пайыз,Алматы,ауыл,,8.3
2015,пайыз,Атырау,ауыл,,6.8
2015,пайыз,Батыс Қазақстан,ауыл,,6.2
2015,пайыз,Жамбыл,ауыл,,11.6
2015,пайыз,Қарағанды,ауыл,,14.3
2015,пайыз,Қостанай,ауыл,,7.6
2015,пайыз,Қызылорда,ауыл,,7.9
2015,пайыз,Маңғыстау,ауыл,,13.3
2015,пайыз,Оңтүстік Қазақстан,ауыл,,11.5
2015,пайыз,Павлодар,ауыл,,12.7
2015,пайыз,Солтүстік Қазақстан,ауыл,,5.8
2015,пайыз,Түркістан,ауыл,,9.7
2016,пайыз,,,,7.2
2016,пайыз,Ақмола,,,5.8
2016,пайыз,Ақтөбе,,,5.1
2016,пайыз,Алматы,,,7.6
2016,пайыз,Атырау,,,7.1
2016,пайыз,Батыс Қазақстан,,,2.3
2016,пайыз,Жамбыл,,,11.7
2016,пайыз,Қарағанды,,,9.5
2016,пайыз,Қостанай,,,3.3
2016,пайыз,Қызылорда,,,10.1
2016,пайыз,Маңғыстау,,,14.2
2016,пайыз,Оңтүстік Қазақстан,,,7.9
2016,пайыз,Павлодар,,,7.5
2016,пайыз,Солтүстік Қазақстан,,,8.6
2016,пайыз,Шығыс Қазақстан,,,4.6
2016,пайыз,Нұр-Сұлтан қаласы,,,6.4
2016,пайыз,Алматы қаласы,,,5.2
2016,пайыз,,,ерлер,5.3
2016,пайыз,Ақмола,,ерлер,4.5
2016,пайыз,Ақтөбе,,ерлер,2.3
2016,пайыз,Алматы,,ерлер,5.2
2016,пайыз,Атырау,,ерлер,5.7
2016,пайыз,Батыс Қазақстан,,ерлер,2.2
2016,пайыз,Жамбыл,,ерлер,7.8
2016,пайыз,Қарағанды,,ерлер,5.9
2016,пайыз,Қостанай,,ерлер,2.9
2016,пайыз,Қызылорда,,ерлер,8.4
2016,пайыз,Маңғыстау,,ерлер,6.2
2016,пайыз,Оңтүстік Қазақстан,,ерлер,6.5
2016,пайыз,Павлодар,,ерлер,7.1
2016,пайыз,Солтүстік Қазақстан,,ерлер,4.6
2016,пайыз,Шығыс Қазақстан,,ерлер,3.4
2016,пайыз,Нұр-Сұлтан қаласы,,ерлер,4.9
2016,пайыз,Алматы қаласы,,ерлер,4.7
2016,пайыз,,,әйелдер,9.1
2016,пайыз,Ақмола,,әйелдер,7.2
2016,пайыз,Ақтөбе,,әйелдер,7.9
2016,пайыз,Алматы,,әйелдер,10.3
2016,пайыз,Атырау,,әйелдер,8.5
2016,пайыз,Батыс Қазақстан,,әйелдер,2.4
2016,пайыз,Жамбыл,,әйелдер,16.0
2016,пайыз,Қарағанды,,әйелдер,13.2
2016,пайыз,Қостанай,,әйелдер,3.7
2016,пайыз,Қызылорда,,әйелдер,12.0
2016,пайыз,Маңғыстау,,әйелдер,22.4
2016,пайыз,Оңтүстік Қазақстан,,әйелдер,9.2
2016,пайыз,Павлодар,,әйелдер,7.9
2016,пайыз,Солтүстік Қазақстан,,әйелдер,12.5
2016,пайыз,Шығыс Қазақстан,,әйелдер,6.1
2016,пайыз,Нұр-Сұлтан қаласы,,әйелдер,7.6
2016,пайыз,Алматы қаласы,,әйелдер,5.6
2016,пайыз,,қала,,5.8
2016,пайыз,Ақмола,қала,,4.0
2016,пайыз,Ақтөбе,қала,,3.8
2016,пайыз,Алматы,қала,,8.5
2016,пайыз,Атырау,қала,,8.1
2016,пайыз,Батыс Қазақстан,қала,,1.4
2016,пайыз,Жамбыл,қала,,12.0
2016,пайыз,Қарағанды,қала,,8.2
2016,пайыз,Қостанай,қала,,3.1
2016,пайыз,Қызылорда,қала,,10.8
2016,пайыз,Маңғыстау,қала,,14.8
2016,пайыз,Оңтүстік Қазақстан,қала,,3.1
2016,пайыз,Павлодар,қала,,5.1
2016,пайыз,Солтүстік Қазақстан,қала,,9.6
2016,пайыз,Шығыс Қазақстан,қала,,2.4
2016,пайыз,Нұр-Сұлтан қаласы,қала,,6.4
2016,пайыз,Алматы қаласы,қала,,5.2
2016,пайыз,,ауыл,,9.2
2016,пайыз,Ақмола,ауыл,,7.3
2016,пайыз,Ақтөбе,ауыл,,7.4
2016,пайыз,Алматы,ауыл,,7.3
2016,пайыз,Атырау,ауыл,,6.4
2016,пайыз,Батыс Қазақстан,ауыл,,3.4
2016,пайыз,Жамбыл,ауыл,,11.5
2016,пайыз,Қарағанды,ауыл,,14.8
2016,пайыз,Қостанай,ауыл,,3.6
2016,пайыз,Қызылорда,ауыл,,9.7
2016,пайыз,Маңғыстау,ауыл,,13.8
2016,пайыз,Оңтүстік Қазақстан,ауыл,,12.3
2016,пайыз,Павлодар,ауыл,,13.4
