Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Жасы,Өңірлер,Value
2015,пайыз,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",15-24 жас аралығында,Шымкент қаласы,15.809964974103572
2015,пайыз,SKILL_ICTPST,15-24 жас аралығында,Шымкент қаласы,18.06853139897551
2015,пайыз,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,15-24 жас аралығында,Шымкент қаласы,10.882183683473889
2015,пайыз,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,15-24 жас аралығында,Шымкент қаласы,2.669214865757746
2015,пайыз,Файлды немесе папканы көшіру немесе жіберу,15 жастан асқан және одан жоғары,,25.313156102543765
2015,пайыз,Құжаттың көшірмесін алу немесе құжаттағы ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,15 жастан асқан және одан жоғары,,17.799810171106323
2015,пайыз,SKILL_ICTATCH,15 жастан асқан және одан жоғары,,46.157484718836415
2015,пайыз,SKILL_ICTSSHT,15 жастан асқан және одан жоғары,,34.13156398713004
2015,пайыз,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",15 жастан асқан және одан жоғары,,11.163039450833647
2015,пайыз,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",15 жастан асқан және одан жоғары,,11.945806952837854
2015,пайыз,SKILL_ICTPST,15 жастан асқан және одан жоғары,,16.716882940355724
2015,пайыз,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,15 жастан асқан және одан жоғары,,18.158221712603297
2015,пайыз,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,15 жастан асқан және одан жоғары,,3.035041029571563
2015,пайыз,Файлды немесе папканы көшіру немесе жіберу,15 жастан асқан және одан жоғары,Ақмола,33.55498730192671
2015,пайыз,Құжаттың көшірмесін алу немесе құжаттағы ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,15 жастан асқан және одан жоғары,Ақмола,12.439204359233663
2015,пайыз,SKILL_ICTATCH,15 жастан асқан және одан жоғары,Ақмола,36.77498733698005
2015,пайыз,SKILL_ICTSSHT,15 жастан асқан және одан жоғары,Ақмола,44.62080170499458
2015,пайыз,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",15 жастан асқан және одан жоғары,Ақмола,20.12342281867432
