Year,UNIT_MEASURE,SERIES,Регионы,Value
2015,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Мангистауская,27.5
2015,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Южно-Казахстанская,42.8
2015,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Павлодарская,44.2
2015,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Северо-Казахстанская,37.9
2015,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Восточно-Казахстанская,58.9
2015,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,г_Нур-Султан,44.3
2015,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,г_Алматы,112.2
2015,тыс.единиц,выше 10 Мбит/сек,Акмолинская,22.3
2015,тыс.единиц,выше 10 Мбит/сек,Актюбинская,20.5
2015,тыс.единиц,выше 10 Мбит/сек,Алматинская,26.6
2015,тыс.единиц,выше 10 Мбит/сек,Атырауская,18.8
2015,тыс.единиц,выше 10 Мбит/сек,Западно-Казахстанская,14.8
2015,тыс.единиц,выше 10 Мбит/сек,Жымбылская,12.0
2015,тыс.единиц,выше 10 Мбит/сек,Карагандинская,64.7
2015,тыс.единиц,выше 10 Мбит/сек,Костанайская,37.2
2015,тыс.единиц,выше 10 Мбит/сек,Кызылординская,11.2
2015,тыс.единиц,выше 10 Мбит/сек,Мангистауская,23.9
2015,тыс.единиц,выше 10 Мбит/сек,Южно-Казахстанская,21.1
2015,тыс.единиц,выше 10 Мбит/сек,Павлодарская,39.4
2015,тыс.единиц,выше 10 Мбит/сек,Северо-Казахстанская,18.8
2015,тыс.единиц,выше 10 Мбит/сек,Восточно-Казахстанская,52.2
2015,тыс.единиц,выше 10 Мбит/сек,г_Нур-Султан,46.2
2015,тыс.единиц,выше 10 Мбит/сек,г_Алматы,580.9
2016,тыс.единиц,,,2349.9
2016,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,,197.4
2016,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Акмолинская,4.0
2016,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Актюбинская,11.1
2016,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Алматинская,8.9
2016,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Атырауская,6.2
2016,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Западно-Казахстанская,4.3
2016,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Жымбылская,3.6
2016,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Карагандинская,8.2
2016,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Костанайская,19.8
2016,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Кызылординская,7.8
2016,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Мангистауская,12.0
2016,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Южно-Казахстанская,7.1
