Year,UNIT_MEASURE,SERIES,Регионы,GeoCode,Value
2010,млн.человек,Перевезено пассажиров всеми видами транспорта,г_Алматы,,2595.5
2011,млн.человек,Перевезено пассажиров всеми видами транспорта,г_Алматы,,3190.6
2012,млн.человек,Перевезено пассажиров всеми видами транспорта,г_Алматы,,3802.8
2013,млн.человек,Перевезено пассажиров всеми видами транспорта,г_Алматы,,4238.8
2014,млн.человек,Перевезено пассажиров всеми видами транспорта,г_Алматы,,4808.6
2015,млн.человек,Перевезено пассажиров всеми видами транспорта,г_Алматы,,4984.8
2016,млн.человек,Перевезено пассажиров всеми видами транспорта,г_Алматы,,4984.2
2017,млн.человек,Перевезено пассажиров всеми видами транспорта,г_Алматы,,5097.2
2018,млн.человек,Перевезено пассажиров всеми видами транспорта,г_Алматы,,5202.4
2018,млн.человек,Перевезено пассажиров всеми видами транспорта,г_Шымкент,,1808.6
2010,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,,,1971.8
2011,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,,,2475.5
2012,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,,,2718.4
2013,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,,,2983.4
2014,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,,,3129.1
2015,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,,,3174.0
2016,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,,,3180.7
2017,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,,,3322.3
2018,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,,,3422.3
2010,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Акмолинская,,95.8
2011,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Акмолинская,,112.4
2012,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Акмолинская,,112.6
2013,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Акмолинская,,121.5
2014,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Акмолинская,,121.3
2015,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Акмолинская,,120.3
2016,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Акмолинская,,113.1
2017,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Акмолинская,,116.1
2018,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Акмолинская,,126.5
2010,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Актюбинская,,41.0
2011,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Актюбинская,,54.5
2012,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Актюбинская,,58.1
2013,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Актюбинская,,62.2
2014,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Актюбинская,,63.6
2015,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Актюбинская,,70.1
2016,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Актюбинская,,76.3
2017,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Актюбинская,,76.8
2018,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Актюбинская,,79.1
2010,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматинская,,116.6
2011,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматинская,,142.7
2012,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматинская,,158.1
2013,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматинская,,159.0
2014,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматинская,,159.9
2015,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматинская,,167.2
2016,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматинская,,179.0
2017,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматинская,,181.1
2018,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматинская,,184.5
2010,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Атырауская,,52.1
2011,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Атырауская,,71.5
2012,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Атырауская,,72.4
2013,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Атырауская,,82.6
2014,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Атырауская,,82.1
2015,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Атырауская,,75.7
2016,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Атырауская,,75.0
2017,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Атырауская,,75.9
2018,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Атырауская,,59.9
2010,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Западно-Казахстанская,,30.0
2011,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Западно-Казахстанская,,33.8
2012,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Западно-Казахстанская,,35.7
2013,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Западно-Казахстанская,,38.8
2014,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Западно-Казахстанская,,39.9
2015,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Западно-Казахстанская,,39.5
2016,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Западно-Казахстанская,,39.4
2017,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Западно-Казахстанская,,39.3
2018,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Западно-Казахстанская,,39.5
2010,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Жымбылская,,56.0
2011,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Жымбылская,,70.5
2012,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Жымбылская,,80.4
2013,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Жымбылская,,88.4
2014,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Жымбылская,,88.9
2015,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Жымбылская,,91.3
2016,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Жымбылская,,91.3
2017,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Жымбылская,,100.1
2018,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Жымбылская,,103.5
2010,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Карагандинская,,444.0
2011,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Карагандинская,,551.1
2012,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Карагандинская,,619.7
2013,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Карагандинская,,676.7
2014,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Карагандинская,,719.2
2015,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Карагандинская,,709.9
2016,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Карагандинская,,727.5
2017,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Карагандинская,,795.5
2018,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Карагандинская,,825.6
2010,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Костанайская,,221.5
2011,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Костанайская,,268.0
2012,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Костанайская,,275.6
2013,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Костанайская,,299.7
2014,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Костанайская,,297.3
2015,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Костанайская,,294.9
2016,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Костанайская,,277.3
2017,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Костанайская,,291.5
2018,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Костанайская,,297.1
2010,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Кызылординская,,66.3
2011,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Кызылординская,,95.5
2012,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Кызылординская,,98.4
2013,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Кызылординская,,106.1
2014,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Кызылординская,,107.2
2015,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Кызылординская,,108.7
