Year,UNIT_MEASURE,SERIES,REF_AREA,GeoCode,Value
2016,M_T,_L_KZ_090102_1J,KZKAR,,727.5
2017,M_T,_L_KZ_090102_1J,KZKAR,,795.5
2018,M_T,_L_KZ_090102_1J,KZKAR,,825.6
2010,M_T,_L_KZ_090102_1J,KZKUS,,221.5
2011,M_T,_L_KZ_090102_1J,KZKUS,,268.0
2012,M_T,_L_KZ_090102_1J,KZKUS,,275.6
2013,M_T,_L_KZ_090102_1J,KZKUS,,299.7
2014,M_T,_L_KZ_090102_1J,KZKUS,,297.3
2015,M_T,_L_KZ_090102_1J,KZKUS,,294.9
2016,M_T,_L_KZ_090102_1J,KZKUS,,277.3
2017,M_T,_L_KZ_090102_1J,KZKUS,,291.5
2018,M_T,_L_KZ_090102_1J,KZKUS,,297.1
2010,M_T,_L_KZ_090102_1J,KZKZY,,66.3
2011,M_T,_L_KZ_090102_1J,KZKZY,,95.5
2012,M_T,_L_KZ_090102_1J,KZKZY,,98.4
2013,M_T,_L_KZ_090102_1J,KZKZY,,106.1
2014,M_T,_L_KZ_090102_1J,KZKZY,,107.2
2015,M_T,_L_KZ_090102_1J,KZKZY,,108.7
2016,M_T,_L_KZ_090102_1J,KZKZY,,104.3
2017,M_T,_L_KZ_090102_1J,KZKZY,,104.6
2018,M_T,_L_KZ_090102_1J,KZKZY,,104.5
2010,M_T,_L_KZ_090102_1J,KZMAN,,136.9
2011,M_T,_L_KZ_090102_1J,KZMAN,,182.0
2012,M_T,_L_KZ_090102_1J,KZMAN,,203.7
2013,M_T,_L_KZ_090102_1J,KZMAN,,211.1
2014,M_T,_L_KZ_090102_1J,KZMAN,,214.0
2015,M_T,_L_KZ_090102_1J,KZMAN,,225.3
2016,M_T,_L_KZ_090102_1J,KZMAN,,216.4
2017,M_T,_L_KZ_090102_1J,KZMAN,,236.5
2018,M_T,_L_KZ_090102_1J,KZMAN,,236.1
2010,M_T,_L_KZ_090102_1J,KZONT,,77.5
2011,M_T,_L_KZ_090102_1J,KZONT,,106.5
2012,M_T,_L_KZ_090102_1J,KZONT,,123.8
2013,M_T,_L_KZ_090102_1J,KZONT,,133.0
2014,M_T,_L_KZ_090102_1J,KZONT,,145.4
2015,M_T,_L_KZ_090102_1J,KZONT,,155.0
2016,M_T,_L_KZ_090102_1J,KZONT,,158.7
2010,M_T,_L_KZ_090102_1J,KZPAV,,57.8
2011,M_T,_L_KZ_090102_1J,KZPAV,,70.2
2012,M_T,_L_KZ_090102_1J,KZPAV,,76.6
2013,M_T,_L_KZ_090102_1J,KZPAV,,83.3
2014,M_T,_L_KZ_090102_1J,KZPAV,,91.8
2015,M_T,_L_KZ_090102_1J,KZPAV,,93.6
2016,M_T,_L_KZ_090102_1J,KZPAV,,97.7
2017,M_T,_L_KZ_090102_1J,KZPAV,,88.6
2018,M_T,_L_KZ_090102_1J,KZPAV,,90.4
2010,M_T,_L_KZ_090102_1J,KZSEV,,40.0
2011,M_T,_L_KZ_090102_1J,KZSEV,,46.0
2012,M_T,_L_KZ_090102_1J,KZSEV,,46.1
2013,M_T,_L_KZ_090102_1J,KZSEV,,49.3
2014,M_T,_L_KZ_090102_1J,KZSEV,,49.9
2015,M_T,_L_KZ_090102_1J,KZSEV,,49.7
2016,M_T,_L_KZ_090102_1J,KZSEV,,48.2
2017,M_T,_L_KZ_090102_1J,KZSEV,,51.4
2018,M_T,_L_KZ_090102_1J,KZSEV,,51.5
2018,M_T,_L_KZ_090102_1J,KZYUZ,,71.0
