Year,UNIT_MEASURE,REF_AREA,SEX,URBANISATION,AGE,Value
2015,PT,KZZHA,,,Y55T64,13.3
2015,PT,KZZHA,,,Y_GE65,49.8
2015,PT,KZKAR,,,Y15,95.0
2015,PT,KZKAR,,,Y16T24,3.0
2015,PT,KZKAR,,,M25T28,1.6
2015,PT,KZKAR,,,M29T34,3.1
2015,PT,KZKAR,,,Y35T44,3.9
2015,PT,KZKAR,,,Y45T54,2.7
2015,PT,KZKAR,,,Y55T64,1.7
2015,PT,KZKAR,,,Y_GE65,0.5
2015,PT,KZKUS,,,Y16T24,3.4
2015,PT,KZKUS,,,M25T28,3.8
2015,PT,KZKUS,,,M29T34,3.9
2015,PT,KZKUS,,,Y35T44,3.9
2015,PT,KZKUS,,,Y45T54,3.2
2015,PT,KZKUS,,,Y55T64,3.0
2015,PT,KZKUS,,,Y_GE65,0.8
2015,PT,KZKZY,,,Y16T24,16.2
2015,PT,KZKZY,,,M25T28,10.8
2015,PT,KZKZY,,,M29T34,10.2
2015,PT,KZKZY,,,Y35T44,12.2
2015,PT,KZKZY,,,Y45T54,13.1
2015,PT,KZKZY,,,Y55T64,13.2
2015,PT,KZMAN,,,Y16T24,2.4
2015,PT,KZMAN,,,M25T28,2.1
2015,PT,KZMAN,,,M29T34,1.3
2015,PT,KZMAN,,,Y35T44,2.1
2015,PT,KZMAN,,,Y45T54,2.8
2015,PT,KZMAN,,,Y55T64,1.4
2015,PT,KZMAN,,,Y_GE65,7.2
2015,PT,KZONT,,,Y16T24,2.4
2015,PT,KZONT,,,M25T28,2.2
2015,PT,KZONT,,,M29T34,2.0
2015,PT,KZONT,,,Y35T44,1.7
2015,PT,KZONT,,,Y45T54,1.4
2015,PT,KZONT,,,Y55T64,1.8
2015,PT,KZPAV,,,Y15,56.3
2015,PT,KZPAV,,,Y16T24,3.9
2015,PT,KZPAV,,,M25T28,0.6
2015,PT,KZPAV,,,M29T34,1.2
2015,PT,KZPAV,,,Y35T44,1.2
2015,PT,KZPAV,,,Y45T54,2.5
2015,PT,KZPAV,,,Y55T64,1.8
2015,PT,KZPAV,,,Y_GE65,0.2
2015,PT,KZSEV,,,Y15,29.5
2015,PT,KZSEV,,,Y16T24,4.6
2015,PT,KZSEV,,,M25T28,3.5
2015,PT,KZSEV,,,M29T34,2.6
2015,PT,KZSEV,,,Y35T44,2.0
2015,PT,KZSEV,,,Y45T54,1.8
2015,PT,KZSEV,,,Y55T64,1.6
2015,PT,KZSEV,,,Y_GE65,0.1
2015,PT,KZVOS,,,Y15,62.5
2015,PT,KZVOS,,,Y16T24,9.2
2015,PT,KZVOS,,,M25T28,5.6
2015,PT,KZVOS,,,M29T34,4.5
2015,PT,KZVOS,,,Y35T44,4.7
2015,PT,KZVOS,,,Y45T54,5.1
2015,PT,KZVOS,,,Y55T64,4.6
2015,PT,KZVOS,,,Y_GE65,8.0
2015,PT,KZNS,,,Y16T24,3.5
2015,PT,KZNS,,,M25T28,0.5
2015,PT,KZNS,,,M29T34,0.2
2015,PT,KZNS,,,Y35T44,0.4
2015,PT,KZNS,,,Y45T54,0.1
2015,PT,KZNS,,,Y55T64,0.5
2015,PT,KZALA,,,Y16T24,0.7
2015,PT,KZALA,,,M25T28,0.8
2015,PT,KZALA,,,M29T34,1.2
2015,PT,KZALA,,,Y35T44,1.0
2015,PT,KZALA,,,Y45T54,1.2
2015,PT,KZALA,,,Y55T64,0.8
2015,PT,KZALA,,,Y_GE65,0.9
2016,PT,,,,,3.5
2016,PT,KZAKM,,,,4.1
2016,PT,KZAKT,,,,5.0
2016,PT,KZALM,,,,4.2
2016,PT,KZATY,,,,0.4
2016,PT,KZZAP,,,,4.1
2016,PT,KZZHA,,,,15.6
2016,PT,KZKAR,,,,2.5
2016,PT,KZKUS,,,,5.1
2016,PT,KZKZY,,,,5.5
2016,PT,KZMAN,,,,1.1
2016,PT,KZONT,,,,2.1
2016,PT,KZPAV,,,,1.9
2016,PT,KZSEV,,,,1.7
2016,PT,KZVOS,,,,3.5
2016,PT,KZNS,,,,0.0
2016,PT,KZALA,,,,0.7
2016,PT,,M,,,3.4
2016,PT,KZAKM,M,,,3.0
2016,PT,KZAKT,M,,,5.4
2016,PT,KZALM,M,,,3.2
2016,PT,KZATY,M,,,0.4
2016,PT,KZZAP,M,,,3.9
2016,PT,KZZHA,M,,,16.3
2016,PT,KZKAR,M,,,2.7
2016,PT,KZKUS,M,,,4.1
2016,PT,KZKZY,M,,,5.7
2016,PT,KZMAN,M,,,1.0
2016,PT,KZONT,M,,,1.9
2016,PT,KZPAV,M,,,1.8
2016,PT,KZSEV,M,,,1.1
2016,PT,KZVOS,M,,,3.8
2016,PT,KZNS,M,,,0.0
2016,PT,KZALA,M,,,1.0
2016,PT,,F,,,3.7
2016,PT,KZAKM,F,,,5.2
2016,PT,KZAKT,F,,,4.6
2016,PT,KZALM,F,,,5.4
2016,PT,KZATY,F,,,0.4
2016,PT,KZZAP,F,,,4.2
2016,PT,KZZHA,F,,,14.9
