Year,UNIT_MEASURE,REF_AREA,SEX,URBANISATION,AGE,Value
2014,PT,KZKAR,,,M29T34,23.3
2014,PT,KZKAR,,,Y35T44,19.9
2014,PT,KZKAR,,,Y45T54,20.1
2014,PT,KZKAR,,,Y55T64,26.6
2014,PT,KZKAR,,,Y_GE65,71.9
2014,PT,KZKUS,,,Y15,100.0
2014,PT,KZKUS,,,Y16T24,46.0
2014,PT,KZKUS,,,M25T28,35.3
2014,PT,KZKUS,,,M29T34,33.7
2014,PT,KZKUS,,,Y35T44,30.9
2014,PT,KZKUS,,,Y45T54,31.1
2014,PT,KZKUS,,,Y55T64,37.1
2014,PT,KZKUS,,,Y_GE65,87.8
2014,PT,KZKZY,,,Y16T24,26.0
2014,PT,KZKZY,,,M25T28,16.5
2014,PT,KZKZY,,,M29T34,17.7
2014,PT,KZKZY,,,Y35T44,19.0
2014,PT,KZKZY,,,Y45T54,17.4
2014,PT,KZKZY,,,Y55T64,17.6
2014,PT,KZKZY,,,Y_GE65,90.8
2014,PT,KZMAN,,,Y16T24,11.3
2014,PT,KZMAN,,,M25T28,6.2
2014,PT,KZMAN,,,M29T34,6.2
2014,PT,KZMAN,,,Y35T44,7.4
2014,PT,KZMAN,,,Y45T54,7.5
2014,PT,KZMAN,,,Y55T64,5.1
2014,PT,KZMAN,,,Y_GE65,4.2
2014,PT,KZONT,,,Y15,100.0
2014,PT,KZONT,,,Y16T24,24.0
2014,PT,KZONT,,,M25T28,22.2
2014,PT,KZONT,,,M29T34,23.4
2014,PT,KZONT,,,Y35T44,21.3
2014,PT,KZONT,,,Y45T54,22.1
2014,PT,KZONT,,,Y55T64,20.9
2014,PT,KZONT,,,Y_GE65,2.2
2014,PT,KZPAV,,,Y15,97.2
2014,PT,KZPAV,,,Y16T24,44.8
2014,PT,KZPAV,,,M25T28,24.9
2014,PT,KZPAV,,,M29T34,27.8
2014,PT,KZPAV,,,Y35T44,25.6
2014,PT,KZPAV,,,Y45T54,26.7
2014,PT,KZPAV,,,Y55T64,46.0
