Year,UNIT_MEASURE,REF_AREA,URBANISATION,SEX,AGE,Value
2011,PT,KZPAV,,,Y35T44,4.0
2011,PT,KZPAV,,,Y45T54,5.3
2011,PT,KZPAV,,,Y55T64,5.5
2011,PT,KZSEV,,,Y16T24,5.8
2011,PT,KZSEV,,,M25T28,9.0
2011,PT,KZSEV,,,M29T34,6.4
2011,PT,KZSEV,,,Y35T44,4.0
2011,PT,KZSEV,,,Y45T54,5.1
2011,PT,KZSEV,,,Y55T64,4.9
2011,PT,KZVOS,,,Y16T24,9.2
2011,PT,KZVOS,,,M25T28,5.0
2011,PT,KZVOS,,,M29T34,5.9
2011,PT,KZVOS,,,Y35T44,4.1
2011,PT,KZVOS,,,Y45T54,4.0
2011,PT,KZVOS,,,Y55T64,4.4
2011,PT,KZNS,,,Y16T24,9.0
2011,PT,KZNS,,,M25T28,8.2
2011,PT,KZNS,,,M29T34,4.5
2011,PT,KZNS,,,Y35T44,6.2
2011,PT,KZNS,,,Y45T54,4.6
2011,PT,KZNS,,,Y55T64,3.3
2011,PT,KZALA,,,Y16T24,6.6
2011,PT,KZALA,,,M25T28,7.3
2011,PT,KZALA,,,M29T34,5.6
2011,PT,KZALA,,,Y35T44,5.4
2011,PT,KZALA,,,Y45T54,4.9
2011,PT,KZALA,,,Y55T64,4.1
2012,PT,,,,,5.3
2012,PT,KZAKM,,,,5.3
2012,PT,KZAKT,,,,5.0
2012,PT,KZALM,,,,5.0
2012,PT,KZATY,,,,5.0
2012,PT,KZZAP,,,,5.1
2012,PT,KZZHA,,,,5.4
2012,PT,KZKAR,,,,5.1
2012,PT,KZKUS,,,,5.2
2012,PT,KZKZY,,,,5.3
2012,PT,KZMAN,,,,5.7
2012,PT,KZONT,,,,5.6
2012,PT,KZPAV,,,,4.9
2012,PT,KZSEV,,,,5.2
2012,PT,KZVOS,,,,5.1
2012,PT,KZNS,,,,5.7
2012,PT,KZALA,,,,5.6
2012,PT,,,M,,4.1
2012,PT,KZAKM,,M,,4.0
2012,PT,KZAKT,,M,,2.9
2012,PT,KZALM,,M,,3.6
2012,PT,KZATY,,M,,3.9
2012,PT,KZZAP,,M,,5.2
2012,PT,KZZHA,,M,,5.3
