Year,UNIT_MEASURE,SERIES,REF_AREA,Value
2018,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZZHA,1.8
2018,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZKAR,5.2
2018,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZKUS,2.6
2018,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZKZY,3.0
2018,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZMAN,6.8
2018,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZPAV,1.1
2018,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZSEV,2.9
2018,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZYUZ,2.1
2018,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZVOS,1.1
2018,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZNS,22.6
2018,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZALA,5.4
2018,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZSHY,0.2
2018,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,,1020.8
2018,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZAKM,75.2
2018,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZAKT,50.8
2018,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZALM,129.6
2018,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZATY,51.9
2018,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZZAP,26.0
2018,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZZHA,45.1
2018,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZKAR,81.0
2018,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZKUS,70.5
2018,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZKZY,38.6
2018,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZMAN,32.2
