Year,UNIT_MEASURE,REF_AREA,URBANISATION,AGE,Value
2013,PT,KZONT,R,,34.8
2013,PT,KZPAV,R,,44.0
2013,PT,KZSEV,R,,23.9
2013,PT,KZVOS,R,,29.1
2013,PT,,,Y16T24,42.0
2013,PT,,,M25T28,41.6
2013,PT,,,M29T34,38.4
2013,PT,,,Y35T44,39.3
2013,PT,,,Y45T54,38.4
2013,PT,,,Y55T64,30.0
2013,PT,,,Y_GE65,17.5
2013,PT,KZAKM,,Y16T24,69.1
2013,PT,KZAKM,,M25T28,61.2
2013,PT,KZAKM,,M29T34,64.4
2013,PT,KZAKM,,Y35T44,32.9
2013,PT,KZAKM,,Y45T54,41.0
2013,PT,KZAKM,,Y55T64,40.7
2013,PT,KZAKT,,Y16T24,6.7
2013,PT,KZAKT,,M25T28,33.6
2013,PT,KZAKT,,M29T34,15.6
2013,PT,KZAKT,,Y35T44,41.9
2013,PT,KZAKT,,Y45T54,24.5
2013,PT,KZAKT,,Y55T64,29.1
2013,PT,KZALM,,Y16T24,34.1
2013,PT,KZALM,,M25T28,70.6
2013,PT,KZALM,,M29T34,58.9
2013,PT,KZALM,,Y35T44,43.7
2013,PT,KZALM,,Y45T54,44.4
2013,PT,KZALM,,Y55T64,39.5
2013,PT,KZALM,,Y_GE65,33.4
2013,PT,KZATY,,Y16T24,47.4
2013,PT,KZATY,,M25T28,20.7
2013,PT,KZATY,,M29T34,61.7
2013,PT,KZATY,,Y35T44,24.4
2013,PT,KZATY,,Y45T54,28.7
2013,PT,KZATY,,Y55T64,17.7
2013,PT,KZATY,,Y_GE65,0.0
2013,PT,KZZAP,,Y16T24,0.0
2013,PT,KZZAP,,M25T28,80.4
2013,PT,KZZAP,,M29T34,0.0
2013,PT,KZZAP,,Y35T44,30.4
2013,PT,KZZAP,,Y45T54,26.8
2013,PT,KZZAP,,Y55T64,17.7
2013,PT,KZZHA,,Y16T24,0.0
2013,PT,KZZHA,,M25T28,28.1
2013,PT,KZZHA,,M29T34,21.0
2013,PT,KZZHA,,Y35T44,31.7
2013,PT,KZZHA,,Y45T54,29.6
2013,PT,KZZHA,,Y55T64,24.6
2013,PT,KZKAR,,Y16T24,53.1
2013,PT,KZKAR,,M25T28,31.1
2013,PT,KZKAR,,M29T34,30.1
2013,PT,KZKAR,,Y35T44,44.5
2013,PT,KZKAR,,Y45T54,45.0
2013,PT,KZKAR,,Y55T64,22.8
2013,PT,KZKAR,,Y_GE65,26.8
