Year,UNIT_MEASURE,SERIES,REF_AREA,Value
2016,TH_TNG,_L_KZ_070b01_1B,,1641656897.0
2017,TH_TNG,_L_KZ_070b01_1B,,1238127054.0
2018,TH_TNG,_L_KZ_070b01_1B,,1562790936.0
2010,TH_TNG,_L_KZ_070b01_1B,KZAKM,5865857.0
2011,TH_TNG,_L_KZ_070b01_1B,KZAKM,7532384.0
2012,TH_TNG,_L_KZ_070b01_1B,KZAKM,7058813.0
2013,TH_TNG,_L_KZ_070b01_1B,KZAKM,5254504.0
2014,TH_TNG,_L_KZ_070b01_1B,KZAKM,5247022.0
2015,TH_TNG,_L_KZ_070b01_1B,KZAKM,8116247.0
2016,TH_TNG,_L_KZ_070b01_1B,KZAKM,11543868.0
2017,TH_TNG,_L_KZ_070b01_1B,KZAKM,26844506.0
2018,TH_TNG,_L_KZ_070b01_1B,KZAKM,25039849.0
2010,TH_TNG,_L_KZ_070b01_1B,KZAKT,56720027.0
2011,TH_TNG,_L_KZ_070b01_1B,KZAKT,69078802.0
2012,TH_TNG,_L_KZ_070b01_1B,KZAKT,72262286.0
2013,TH_TNG,_L_KZ_070b01_1B,KZAKT,29557065.0
2014,TH_TNG,_L_KZ_070b01_1B,KZAKT,43668468.0
2015,TH_TNG,_L_KZ_070b01_1B,KZAKT,42668988.0
2016,TH_TNG,_L_KZ_070b01_1B,KZAKT,22975818.0
2017,TH_TNG,_L_KZ_070b01_1B,KZAKT,21481935.0
2018,TH_TNG,_L_KZ_070b01_1B,KZAKT,43441612.0
2010,TH_TNG,_L_KZ_070b01_1B,KZALM,13663644.0
2011,TH_TNG,_L_KZ_070b01_1B,KZALM,7836056.0
2012,TH_TNG,_L_KZ_070b01_1B,KZALM,13454282.0
2013,TH_TNG,_L_KZ_070b01_1B,KZALM,13749695.0
2014,TH_TNG,_L_KZ_070b01_1B,KZALM,16274363.0
2015,TH_TNG,_L_KZ_070b01_1B,KZALM,12499725.0
2016,TH_TNG,_L_KZ_070b01_1B,KZALM,25251112.0
2017,TH_TNG,_L_KZ_070b01_1B,KZALM,48721092.0
2018,TH_TNG,_L_KZ_070b01_1B,KZALM,63409022.0
2010,TH_TNG,_L_KZ_070b01_1B,KZATY,836323392.0
2011,TH_TNG,_L_KZ_070b01_1B,KZATY,772892424.0
2012,TH_TNG,_L_KZ_070b01_1B,KZATY,508085982.0
2013,TH_TNG,_L_KZ_070b01_1B,KZATY,400723906.0
2014,TH_TNG,_L_KZ_070b01_1B,KZATY,251650840.0
2015,TH_TNG,_L_KZ_070b01_1B,KZATY,415003074.0
2016,TH_TNG,_L_KZ_070b01_1B,KZATY,546174230.0
2017,TH_TNG,_L_KZ_070b01_1B,KZATY,135890390.0
2018,TH_TNG,_L_KZ_070b01_1B,KZATY,223973796.0
2010,TH_TNG,_L_KZ_070b01_1B,KZZAP,142611910.0
2011,TH_TNG,_L_KZ_070b01_1B,KZZAP,83180609.0
2012,TH_TNG,_L_KZ_070b01_1B,KZZAP,68589643.0
2013,TH_TNG,_L_KZ_070b01_1B,KZZAP,90047981.0
2014,TH_TNG,_L_KZ_070b01_1B,KZZAP,130945794.0
2015,TH_TNG,_L_KZ_070b01_1B,KZZAP,181597518.0
2016,TH_TNG,_L_KZ_070b01_1B,KZZAP,300607048.0
2017,TH_TNG,_L_KZ_070b01_1B,KZZAP,283611660.0
2018,TH_TNG,_L_KZ_070b01_1B,KZZAP,287077343.0
2010,TH_TNG,_L_KZ_070b01_1B,KZZHA,1673955.0
2011,TH_TNG,_L_KZ_070b01_1B,KZZHA,3036140.0
2012,TH_TNG,_L_KZ_070b01_1B,KZZHA,13673348.0
2013,TH_TNG,_L_KZ_070b01_1B,KZZHA,9388787.0
2014,TH_TNG,_L_KZ_070b01_1B,KZZHA,16331263.0
2015,TH_TNG,_L_KZ_070b01_1B,KZZHA,15150278.0
2016,TH_TNG,_L_KZ_070b01_1B,KZZHA,36857899.0
2017,TH_TNG,_L_KZ_070b01_1B,KZZHA,18661508.0
2018,TH_TNG,_L_KZ_070b01_1B,KZZHA,27044501.0
2010,TH_TNG,_L_KZ_070b01_1B,KZKAR,65683196.0
2011,TH_TNG,_L_KZ_070b01_1B,KZKAR,88889603.0
2012,TH_TNG,_L_KZ_070b01_1B,KZKAR,107333700.0
2013,TH_TNG,_L_KZ_070b01_1B,KZKAR,102948485.0
2014,TH_TNG,_L_KZ_070b01_1B,KZKAR,112254039.0
2015,TH_TNG,_L_KZ_070b01_1B,KZKAR,94116976.0
